recno;ID;RAJ2000;DEJ2000;l_mlow;mlow;l_Dmmax;Dmmax;l_sigint;sigint;l_Sd;Sd;l_Sy;Sy;LC;Mph;rmag;OT;z;X;Class
 ; ;deg;deg; ;mag; ;mag; ;mag; ;mag; ;mag; ; ;mag; ; ; ;
     911;COSMOS_MOS26-19 ;150.3842;+01.5724; ;20.85; ; 0.66; ; 0.18; ; 0.11; ; 0.49;V;pt ;20.19;QSO; 1.361;X;QSO
     912;COSMOS_MOS25-02 ;148.7705;+02.6986; ;20.35; ; 0.66; ; 0.24; ; 0.11; ; 0.59;V;pt ;19.75;QSO;      ; ;QSO
     913;ELAISN1_MOS16-07;240.9232;+54.2504; ;19.92; ; 0.66; ; 0.19;<; 0.00; ; 0.44;V;pt ;19.25;QSO; 0.581; ;QSO
     914;COSMOS_MOS23-19 ;150.8924;+02.3832; ;20.31; ; 0.66; ; 0.16; ; 0.05; ; 0.46; ;pt ;20.10;QSO;      ; ;QSO
     915;ELAISN1_MOS10-05;242.0557;+56.2817; ;20.83; ; 0.66; ; 0.21;<; 0.00; ; 0.31;V;pt ;20.46;QSO;      ; ;QSO
     916;CDFS_MOS05-35   ;052.6057;-27.4726; ;20.43; ; 0.65; ; 0.20; ; 0.02; ; 0.50;V;ext;20.10;   ;      ; ;AGN
     917;COSMOS_MOS21-17 ;150.6892;+03.5906; ;20.55; ; 0.65; ; 0.24;<; 0.00; ; 0.58;F;pt ;19.42;QSO; 1.643; ;QSO
     918;CDFS_MOS04-22   ;053.2850;-28.9757; ;20.56; ; 0.65; ; 0.21;<; 0.00; ; 0.55;V;pt ;19.38;QSO;      ; ;QSO
     919;VVDS22H_MOS05-02;333.6988;-00.3425; ;19.21; ; 0.64; ; 0.17;<; 0.00; ; 0.60; ;pt ;18.15;QSO; 1.093; ;QSO
     920;COSMOS_MOS24-05 ;149.5853;+02.0509; ;20.85; ; 0.64; ; 0.13; ; 0.08; ; 0.30;V;pt ;19.78;QSO; 1.355; ;QSO
     921;CDFS_MOS03-08   ;053.8914;-27.5529; ;20.12; ; 0.64; ; 0.23;<; 0.00; ; 0.56;V;ext;19.50;   ;      ; ;AGN
     922;XMMLSS_MOS03-04 ;035.5339;-04.4594; ;20.49; ; 0.64; ; 0.15;<; 0.00; ; 0.64; ;pt ;18.41;QSO;      ;X;QSO
     923;VVDS22H_MOS06-13;332.9349;-00.4230; ;20.56; ; 0.63; ; 0.12; ; 0.18; ; 0.13;V;pt ;17.50;RRL;      ; ;RRL
     924;CDFS_MOS04-09   ;052.8798;-28.7658; ;19.49; ; 0.63; ; 0.18;<; 0.00; ; 0.71; ;pt ;18.98;QSO;      ; ;QSO
     925;COSMOS_MOS21-13 ;150.5371;+02.6449; ;21.73; ; 0.63; ; 0.12; ; 0.24; ; 0.14;V;ext;19.13;   ;      ; ;AGN
     926;GROTH_MOS03-12  ;214.1495;+52.9473; ;20.78; ; 0.62; ; 0.19; ; 0.08; ; 0.39; ;pt ;18.89;QSO; 1.382; ;QSO
     927;CDFS_MOS06-01   ;053.5288;-28.5809; ;20.63; ; 0.62; ; 0.23; ; 0.30; ; 0.47;V;pt ;20.29;QSO;      ; ;QSO
     928;CDFS_MOS05-26   ;052.2458;-27.1121; ;19.52; ; 0.62; ; 0.20;<; 0.00; ; 0.70; ;pt ;18.34;   ;      ; ;?
     929;CDFS_MOS04-11   ;052.9661;-29.0046; ;19.85; ; 0.62; ; 0.16; ; 0.04; ; 0.29;V;ext;18.15;   ;      ; ;AGN
     930;VVDS22H_MOS05-07;333.9261;-00.6027; ;18.73; ; 0.62; ; 0.15; ; 0.14; ; 0.48; ;ext;16.43;   ; 0.099;X;AGN
     931;GROTH_MOS07-04  ;212.2413;+52.8053; ;19.84; ; 0.62; ; 0.19; ; 0.12; ; 0.43;V;ext;19.13;   ;      ; ;AGN
     932;XMMLSS_MOS06-14 ;036.3095;-04.7833; ;19.75; ; 0.62; ; 0.13;<; 0.00; ; 0.48;V;pt ;18.28;QSO;      ;X;QSO
     933;GROTH_MOS01-07  ;215.2242;+54.4815; ;19.57; ; 0.61; ; 0.19; ; 0.56; ; 0.25; ;pt ;14.08;   ;      ; ;STAR
     934;ELAISN1_MOS15-12;242.4613;+53.4860; ;19.59; ; 0.61; ; 0.16;<; 0.00; ; 0.49;V;pt ;17.99;QSO; 1.715; ;QSO
     935;CDFS_MOS05-08   ;051.8213;-27.1047; ;20.03; ; 0.61; ; 0.18; ; 0.03; ; 0.43;V;ext;19.71;   ;      ; ;AGN
     936;GROTH_MOS03-11  ;214.1072;+53.9109; ;19.67; ; 0.61; ; 0.17; ; 0.16; ; 0.36;V;ext;18.64;   ; 0.263; ;AGN
     937;COSMOS_MOS22-13 ;149.7173;+02.8658; ;20.19; ; 0.61; ; 0.21; ;     ; ; 0.50;V;pt ;19.21;QSO; 1.406;X;QSO
     938;ELAISN1_MOS14-12;244.2342;+54.6256; ;19.62; ; 0.61; ; 0.21; ; 0.03; ; 0.49;V;pt ;18.85;QSO;      ; ;QSO
     939;CDFS_MOS01-33   ;052.4041;-28.3985; ;20.26; ; 0.61; ; 0.12;<; 0.00; ; 0.32; ;   ;18.34;   ;      ; ;?
     940;GROTH_MOS01-11  ;215.5553;+54.2295; ;20.08; ; 0.60; ; 0.16; ; 0.06; ; 0.23;V;pt ;17.85;QSO; 1.662; ;QSO
     941;COSMOS_MOS23-16 ;150.8613;+02.0822; ;19.86; ; 0.60; ; 0.18; ; 0.11; ; 0.44;F;pt ;19.40;QSO;      ; ;QSO
     942;ELAISN1_MOS15-15;242.7075;+53.7495; ;20.64; ; 0.60; ; 0.16;<; 0.00; ; 0.53;V;ext;19.76;   ;      ; ;AGN
     943;VVDS22H_MOS01-23;333.0907;+00.7238; ;18.97; ; 0.60; ; 0.22;<; 0.00; ; 0.52;V;pt ;18.61;QSO;      ; ;QSO
     944;ELAISN1_MOS15-07;242.2878;+53.5317; ;19.16; ; 0.59; ; 0.21;<; 0.00; ; 0.52;V;pt ;18.31;QSO; 0.814; ;QSO
     945;GROTH_MOS05-03  ;215.0999;+53.2681; ;20.59; ; 0.59; ; 0.18; ; 0.33; ; 0.36;V;ext;20.22;   ;      ; ;AGN
     946;VVDS22H_MOS00-24;333.9567;+01.2420; ;19.50; ; 0.59; ; 0.14;<; 0.00; ; 0.46;V;ext;19.69;   ;      ; ;AGN
     947;XMMLSS_MOS06-03 ;035.8602;-04.9508; ;20.92; ; 0.59; ; 0.13; ; 0.07; ; 0.32;V;ext;20.26;   ;      ;X;AGN
     948;COSMOS_MOS23-23 ;150.9881;+02.4442; ;19.67; ; 0.59; ; 0.19; ; 0.03; ; 0.44; ;pt ;19.10;QSO; 1.483; ;QSO
     949;CDFS_MOS00-27   ;053.1123;-27.6846; ;20.24; ; 0.59; ; 0.12; ; 0.01; ; 0.42;V;ext;19.29;   ; 0.734;X;AGN
     950;GROTH_MOS07-30  ;213.4463;+52.5907; ;19.94; ; 0.59; ; 0.23; ; 0.04; ; 0.42;F;pt ;18.58;   ; 1.198; ;QSO
     951;COSMOS_MOS24-27 ;150.0588;+02.4774; ;21.15; ; 0.59; ; 0.16; ; 0.05; ; 0.35;F;pt ;20.25;QSO; 1.256;X;QSO
     952;XMMLSS_MOS05-01 ;034.7530;-05.2838; ;20.56; ; 0.59; ; 0.18; ; 0.07; ; 0.45;V;pt ;19.13;QSO;      ; ;QSO
     953;XMMLSS_MOS00-12 ;035.5547;-03.4953; ;20.30; ; 0.58; ; 0.13;<; 0.00; ; 0.28; ;pt ;19.87;QSO;      ;X;QSO
     954;CDFS_MOS00-38   ;053.2925;-27.5516; ;21.77; ; 0.58;<; 0.00; ; 0.02; ; 0.07;V;ext;19.29;   ;      ;X;AGN
     955;XMMLSS_MOS02-11 ;035.1338;-03.5090; ;21.17; ; 0.58; ; 0.13; ; 0.06; ; 0.58;V;pt ;20.63;QSO;      ;X;QSO
     956;ELAISN1_MOS16-23;241.6279;+54.3353; ;19.24; ; 0.58; ; 0.18;<; 0.00; ; 0.42; ;pt ;18.56;QSO; 0.820; ;QSO
     957;XMMLSS_MOS06-24 ;036.7187;-05.1057; ;20.46; ; 0.57; ; 0.11;<; 0.00; ; 0.29; ;pt ;19.47;QSO;      ;X;QSO
     958;ELAISN1_MOS11-02;243.9643;+55.1230; ;20.09; ; 0.57; ; 0.18;<; 0.00; ; 0.43; ;pt ;19.60;QSO;      ; ;QSO
     959;GROTH_MOS03-15  ;214.3721;+53.3077; ;20.17; ; 0.57; ; 0.14; ; 0.16; ; 0.28;V;ext;18.40;   ;      ; ;AGN
     960;XMMLSS_MOS00-11 ;035.5465;-03.1702; ;18.30; ; 0.57; ; 0.16; ; 0.27; ; 0.23;V;pt ;13.12;   ;      ;X;STAR
     961;COSMOS_MOS21-03 ;150.0893;+03.3144; ;19.01; ; 0.57; ; 0.17; ; 0.13; ; 0.32;V;ext;17.40;   ; 4.017; ;AGN
     962;CDFS_MOS00-00   ;052.5696;-27.7584; ;21.78; ; 0.57;<; 0.00;<; 0.00; ; 0.07;V;   ;16.07;   ;      ; ;Point Var
     963;COSMOS_MOS26-24 ;150.4926;+01.4599; ;20.14; ; 0.57; ; 0.14; ; 0.07; ; 0.24;V;ext;19.32;   ;      ; ;AGN
     964;COSMOS_MOS24-26 ;150.0539;+02.5896; ;19.14; ; 0.57; ; 0.19; ; 0.04; ; 0.54;V;ext;18.84;   ; 0.697;X;AGN
     965;ELAISN1_MOS15-25;243.0522;+54.1603; ;19.69; ; 0.57; ; 0.19;<; 0.00; ; 0.41;F;pt ;18.60;QSO;      ; ;QSO
     966;CDFS_MOS00-56   ;053.6566;-27.9741; ;20.48; ; 0.57; ; 0.11;<; 0.00; ; 0.38;V;pt ;18.52;   ;      ; ;Point Var
     967;CDFS_MOS06-20   ;054.4772;-28.1742; ;21.13; ; 0.57; ; 0.24; ; 0.10; ; 0.25; ;ext;18.35;   ;      ; ;?
     968;ELAISN1_MOS12-10;243.0452;+55.1332; ;18.95; ; 0.57; ; 0.19; ; 0.05; ; 0.49; ;ext;18.76;   ;      ;X;AGN
     969;COSMOS_MOS26-13 ;150.3004;+00.8535; ;20.86; ; 0.56; ; 0.15;<; 0.00; ; 0.46;V;pt ;19.84;QSO;      ; ;QSO
     970;COSMOS_MOS23-15 ;150.8525;+02.3091; ;18.87; ; 0.56; ; 0.16; ; 0.10; ; 0.26;V;pt ;18.36;QSO; 0.518;X;QSO
     971;COSMOS_MOS24-39 ;150.4438;+02.0489; ;20.59; ; 0.56; ; 0.13; ; 0.11; ; 0.30;V;ext;20.13;   ; 0.668;X;AGN
     972;ELAISN1_MOS16-35;242.1481;+54.3914; ;19.88; ; 0.56; ; 0.22;<; 0.00; ; 0.56;V;pt ;17.91;QSO;      ; ;QSO
     973;GROTH_MOS05-01  ;214.9572;+53.0985; ;20.03; ; 0.56; ; 0.17; ; 0.34; ; 0.24;V;pt ;17.60;   ;      ;X;?
     974;ELAISN1_MOS16-12;241.1209;+54.7261; ;20.17; ; 0.56; ; 0.14;<; 0.00; ; 0.47;F;pt ;18.45;QSO; 1.269; ;QSO
     975;ELAISN1_MOS10-18;243.3798;+55.7525; ;19.78; ; 0.56; ; 0.14; ; 0.11; ; 0.52;V;pt ;19.07;QSO;      ; ;QSO
     976;GROTH_MOS01-08  ;215.3573;+54.0031; ;20.61; ; 0.55; ; 0.13; ; 0.09; ; 0.20;V;pt ;19.38;   ;      ; ;Point Var
     977;COSMOS_MOS27-20 ;149.8566;+01.2592; ;20.19; ; 0.55; ; 0.19; ; 0.03; ; 0.43;V;pt ;18.87;QSO; 1.694; ;QSO
     978;CDFS_MOS05-05   ;051.7232;-27.1174; ;20.66; ; 0.55; ; 0.17;<; 0.00; ; 0.44;F;pt ;19.21;   ;      ; ;Point Flare
     979;CDFS_MOS03-04   ;053.8649;-26.9501; ;20.00; ; 0.55; ; 0.15;<; 0.00; ; 0.40;V;ext;19.54;   ;      ; ;AGN
     980;COSMOS_MOS26-23 ;150.4774;+00.7570; ;19.34; ; 0.55; ; 0.17; ; 0.10; ; 0.42;V;pt ;18.21;QSO; 1.356; ;QSO
     981;GROTH_MOS01-13  ;215.6081;+54.6566; ;20.41; ; 0.55; ; 0.20; ; 0.05; ; 0.46;F;pt ;20.10;   ;      ; ;QSO
     982;GROTH_MOS01-18  ;215.7953;+54.4200; ;19.27; ; 0.54; ; 0.13;<; 0.00; ; 0.23;V;pt ;18.34;QSO; 1.466; ;QSO
     983;COSMOS_MOS24-29 ;150.1029;+02.5303; ;19.60; ; 0.54; ; 0.16; ; 0.06; ; 0.41;V;pt ;18.73;QSO; 1.319;X;QSO
     984;GROTH_MOS03-24  ;214.9551;+53.5355; ;20.48; ; 0.54; ; 0.15; ; 0.05; ; 0.26; ;pt ;19.62;QSO;      ; ;QSO
     985;GROTH_MOS07-06  ;212.4199;+52.2274; ;20.68; ; 0.54; ; 0.10; ; 0.06; ; 0.15;V;pt ;19.70;QSO;      ; ;QSO
     986;CDFS_MOS04-25   ;053.4202;-29.0788; ;18.83; ; 0.54; ; 0.19;<; 0.00; ; 0.49;V;pt ;18.33;QSO;      ; ;QSO
     987;CDFS_MOS05-25   ;052.2095;-26.7605; ;19.62; ; 0.53; ; 0.10; ; 0.08; ; 0.20;V;pt ;18.80;   ;      ; ;Point Var
     988;CDFS_MOS02-18   ;053.0203;-26.4234; ;20.88; ; 0.52; ; 0.13;<; 0.00; ; 0.24; ;pt ;20.04;   ;      ; ;?
     989;CDFS_MOS01-13   ;051.8280;-28.3162; ;19.70; ; 0.52; ; 0.17;<; 0.00; ; 0.41;V;ext;19.14;   ;      ; ;AGN
     990;COSMOS_MOS26-16 ;150.3563;+00.8681; ;19.40; ; 0.52; ; 0.18; ; 0.04; ; 0.46;V;pt ;18.86;QSO; 0.781; ;QSO
     991;GROTH_MOS02-11  ;214.0191;+54.1777; ;20.24; ; 0.52; ; 0.11; ; 0.09; ; 0.14;V;pt ;18.89;QSO; 1.487; ;QSO
     992;CDFS_MOS04-15   ;053.1274;-28.7972; ;20.49; ; 0.52; ; 0.08;<; 0.00; ; 0.51; ;ext;19.98;   ;      ; ;?
     993;VVDS22H_MOS00-17;333.7859;+01.6857; ;20.38; ; 0.52; ; 0.09; ; 0.02; ; 0.39;F;pt ;19.77;QSO;      ; ;QSO
     994;GROTH_MOS02-18  ;214.4518;+54.6298; ;20.61; ; 0.52; ; 0.17; ; 0.13; ; 0.25; ;ext;20.07;   ;      ; ;?
     995;CDFS_MOS02-08   ;052.8412;-27.1529; ;19.93; ; 0.52; ; 0.07;<; 0.00; ; 0.41; ;pt ;19.14;   ;      ; ;?
     996;COSMOS_MOS25-04 ;148.8774;+02.2815; ;20.31; ; 0.52; ; 0.18; ; 0.15; ; 0.47; ;pt ;20.26;QSO; 0.748; ;QSO
     997;XMMLSS_MOS00-13 ;035.5750;-02.6602; ;18.58; ; 0.52; ; 0.17; ; 0.02; ; 0.41;V;pt ;17.90;QSO;      ; ;QSO
     998;GROTH_MOS05-26  ;216.0539;+52.6510; ;20.08; ; 0.51; ; 0.15; ; 0.01; ; 0.29;V;pt ;20.27;QSO;      ; ;QSO
     999;CDFS_MOS02-22   ;053.2130;-27.0313; ;21.06; ; 0.51; ; 0.09; ; 0.01; ; 0.35;F;pt ;20.16;   ;      ; ;QSO
    1000;XMMLSS_MOS00-14 ;035.6337;-02.9019; ;20.00; ; 0.51; ; 0.11;<; 0.00; ; 0.28; ;pt ;19.04;QSO;      ;X;QSO
    1001;VVDS22H_MOS03-08;333.4377;+00.0732; ;20.21; ; 0.51; ; 0.08; ; 0.10; ; 0.07;F;pt ;11.70;   ;      ; ;Point Flare
    1002;GROTH_MOS03-23  ;214.9212;+53.6136; ;20.17; ; 0.51; ; 0.14;<; 0.00; ; 0.19;V;ext;19.35;   ;      ; ;AGN
    1003;COSMOS_MOS22-05 ;149.2568;+02.6497; ;19.63; ; 0.51; ; 0.13; ; 0.12; ; 0.25;V;pt ;18.95;QSO; 1.074; ;QSO
    1004;XMMLSS_MOS02-01 ;034.6594;-04.3309; ;20.34; ; 0.51; ; 0.10; ; 0.22; ; 0.14;V;pt ;17.81;RRL;      ; ;RRL
    1005;ELAISN1_MOS10-06;242.1253;+55.7305; ;20.41; ; 0.50; ; 0.13;<; 0.00; ; 0.43;V;pt ;18.88;QSO;      ; ;QSO
    1006;ELAISN1_MOS16-04;240.7653;+54.8113; ;20.70; ; 0.50; ; 0.08; ; 0.01; ; 0.29;V;pt ;15.60;   ;      ; ;STAR
    1007;GROTH_MOS06-01  ;213.9295;+52.8493; ;19.86; ; 0.50; ; 0.15; ; 0.07; ; 0.07;V;pt ;19.17;QSO; 1.390; ;QSO
    1008;COSMOS_MOS22-12 ;149.6792;+03.3141; ;19.81; ; 0.50; ; 0.13; ; 0.06; ; 0.24;V;ext;18.02;   ; 0.256; ;AGN
    1009;CDFS_MOS02-01   ;052.6088;-26.7174; ;19.67; ; 0.50; ; 0.08;<; 0.00; ; 0.40;V;ext;19.17;   ;      ; ;AGN
    1010;CDFS_MOS03-26   ;054.7358;-27.2120; ;20.54; ; 0.49; ; 0.08;<; 0.00; ; 0.54;F;pt ;19.07;   ;      ; ;Point Flare
    1011;XMMLSS_MOS05-06 ;034.8471;-04.8637; ;19.25; ; 0.49; ; 0.07;<; 0.00; ; 0.56;V;ext;19.10;   ;      ; ;AGN
    1012;COSMOS_MOS24-30 ;150.1055;+01.9813; ;19.33; ; 0.49; ; 0.14; ; 0.04; ; 0.38;V;pt ;18.78;QSO; 0.373;X;QSO
    1013;VVDS22H_MOS06-08;332.7849;-00.0508; ;18.92; ; 0.49; ; 0.11; ; 0.06; ; 0.17;V;ext;17.92;   ; 0.362; ;AGN
    1014;VVDS22H_MOS02-07;334.8005;+00.6035; ;19.33; ; 0.49; ; 0.10;<; 0.00; ; 0.42;V;pt ;18.53;QSO; 0.826; ;QSO
    1015;COSMOS_MOS26-06 ;150.0909;+01.2796; ;19.63; ; 0.49; ; 0.14; ; 0.23; ; 0.18;V;pt ;14.65;RRL;      ; ;RRL
    1016;COSMOS_MOS22-04 ;149.1985;+02.8676; ;20.90; ; 0.49; ; 0.07; ; 0.27; ; 0.09; ;ext;17.18;   ; 0.129; ;?
