GCK J19284108+4054586 292.17115 40.91627 21.662 0.122 -999.990 -999.990   8.92  5706595 Kepler-370   15.198 15.712 15.143 14.978 14.888 13.977 13.650 13.550
GCK J19502238+4058382 297.59326 40.97727 20.316 0.082 -999.990 -999.990  13.24  5728139 Kepler-433   14.463 14.953 14.413 14.253 14.166 13.201 12.948 12.826
GCK J19563338+4056560 299.13908 40.94889 20.502 0.076 -999.990 -999.990  14.28  5735762 Kepler- 48   13.040 13.692 13.009 12.761 12.692 11.701 11.291 11.221
GCK J19141956+4105234 288.58150 41.08982 18.234 0.015 -999.990 -999.990  72.80  5780885 Kepler-  7   12.885 13.260 12.815 12.724 12.683 11.833 11.601 11.535
GCK J19283900+4101243 292.16250 41.02340 21.773 0.122 -999.990 -999.990   8.87  5791986 Kepler-151   14.769 15.370 14.697 14.512 14.395 13.382 12.997 12.864
GCK J19452551+4105338 296.35628 41.09272 14.712 0.004   14.571    0.220 263.16  5807616 Kepler- 70   15.019 14.731 15.115 15.447 15.704 15.355 15.592 15.494
GCK J19494885+4100398 297.45353 41.01105 15.548 0.005   15.534    0.220 200.37  5812701 Kepler-448   11.353 11.571 11.280 11.245 11.260 10.461 10.287 10.233
GCK J19144529+4109044 288.68870 41.15124 15.812 0.004 -999.990 -999.990 241.58  5866724 Kepler- 65   11.018 11.336 10.955 10.882 10.858 10.066  9.852  9.805
GCK J18573839+4114154 284.40996 41.23762 19.599 0.023 -999.990 -999.990  47.46  5941160 Kepler-200   13.984 14.441 13.944 13.789 13.746 12.871 12.580 12.455
GCK J19220245+4114406 290.51022 41.24462 20.432 0.056 -999.990 -999.990  19.26  5956342 Kepler-265   15.381 15.803 15.348 15.201 15.149 14.252 13.935 13.897
GCK J19343027+4116221 293.62613 41.27279 17.446 0.009 -999.990 -999.990 120.44  5966154 Kepler-201   13.004 13.312 12.958 12.872 12.868 12.037 11.784 11.737
GCK J18515366+4119193 282.97357 41.32202 21.624 0.118 -999.990 -999.990   9.23  6020753 Kepler-202   13.872 14.701 13.801 13.517 13.362 12.255 11.733 11.638
GCK J18524609+4118197 283.19205 41.30546 20.253 0.032 -999.990 -999.990  34.27  6021193 Kepler-363   13.353 13.917 13.284 13.112 13.058 12.111 11.755 11.696
GCK J18525659+4120353 283.23578 41.34314 16.566 0.005 -999.990 -999.990 235.26  6021275 Kepler-132   11.818 12.172 11.749 11.666 11.632 10.797 10.516 10.423
GCK J19205706+4119531 290.23773 41.33140 19.154 0.022 -999.990 -999.990  50.24  6037581 Kepler-336   13.598 14.012 13.549 13.420 13.356 12.487 12.194 12.144
GCK J19322217+4121202 293.09238 41.35560 20.337 0.046 -999.990 -999.990  23.37  6046540 Kepler- 74   14.412 14.876 14.350 14.212 14.182 13.305 13.007 12.958
GCK J19162074+4133456 289.08641 41.56266 17.097 0.009 -999.990 -999.990 123.45  6196457 Kepler- 92   11.565 12.481 11.679               10.747 10.470 10.403
GCK J18580509+4137472 284.52120 41.62978 21.244 0.078 -999.990 -999.990  13.95  6266741 Kepler-170   14.387 14.948 14.317 14.146 14.067 13.143 12.772 12.676
GCK J19012332+4145427 285.34715 41.76186 19.406 0.024 -999.990 -999.990  45.09  6347299 Kepler-204   13.909 14.324 13.852 13.731 13.646 12.846 12.486 12.480
GCK J19205170+4146330 290.21540 41.77583 22.916 0.261 -999.990 -999.990   4.16  6359320 Kepler-269   15.808 16.324 15.706 15.587 15.481 14.438 14.140 13.961
GCK J19470524+4145201 296.77184 41.75559 21.882 0.233 -999.990 -999.990   4.65  6381846 Kepler-171   14.883 15.455 14.835 14.638 14.544 13.586 13.230 13.205
GCK J18532845+4149199 283.36853 41.82218 21.485 0.112 -999.990 -999.990   9.65  6422155 Kepler-172   14.532 15.093 14.445 14.292 14.155 13.169 12.882 12.792
GCK J19010898+4151390 285.28743 41.86082 23.418 0.618 -999.990 -999.990   1.76  6425957 Kepler-205   13.506 14.649 13.469 13.016 12.748 11.608 10.961 10.833
GCK J19263233+4150020 291.63470 41.83390 19.462 0.024 -999.990 -999.990  44.36  6442340 Kepler-206   13.484 13.944 13.433 13.287 13.214 12.330 12.048 12.000
GCK J19350198+4152191 293.75826 41.87198 21.448 0.105 -999.990 -999.990  10.37  6448890 Kepler- 56   12.440 13.255 12.373 12.090 11.911 10.813 10.330 10.227
GCK J19383520+4153031 294.64667 41.88418 19.812 0.033 -999.990 -999.990  32.89  6451936 Kepler-173   14.209 14.658 14.188 14.017 13.953 13.080 12.762 12.667
GCK J19491994+4153283 297.33310 41.89118 17.172 0.012 -999.990 -999.990  94.05  6462863 Kepler- 89   12.205 12.551 12.186 12.057 12.039 11.217 10.957 10.926
GCK J19253266+4159246 291.38607 41.99017 16.693 0.006 -999.990 -999.990 183.17  6521045 Kepler-100   11.197 11.585 11.125 11.030 10.992 10.080  9.804  9.768
GCK J19345587+4154027 293.73280 41.90074 16.771 0.007 -999.990 -999.990 166.99  6528464 Kepler-449   11.411 11.986 11.458               10.088  9.770  9.701
GCK J19482763+4154328 297.11512 41.90911 19.406 0.043 -999.990 -999.990  25.00  6541920 Kepler- 11   13.709 14.178 13.653 13.508 13.455 12.548 12.237 12.179
GCK J18595241+4204452 284.96838 42.07923 21.597 0.093 -999.990 -999.990  11.73  6587002 Kepler-196   14.157 14.824 14.082 13.871 13.770 12.752 12.300 12.234
GCK J19002647+4202019 285.11028 42.03386 23.107 0.315 -999.990 -999.990   3.45  6587280 Kepler-243   15.086 15.785 14.997 14.787 14.657 13.621 13.191 13.064
GCK J19384180+4204320 294.67418 42.07556 19.777 0.035 -999.990 -999.990  31.03  6616218 Kepler-314   12.557 13.126 12.459 12.313 12.205 11.242 10.849 10.778
GCK J19093392+4211411 287.39133 42.19475 17.716 0.012 -999.990 -999.990  94.03  6677841 Kepler-279   13.659 13.869 13.589 13.518 13.523 12.724 12.509 12.509
GCK J19102519+4209600 287.60497 42.16666 17.120 0.008 -999.990 -999.990 129.18  6678383 Kepler-104   12.596 12.956 12.557 12.442 12.397 11.557 11.250 11.208
GCK J19200733+4209575 290.03056 42.16596 18.913 0.022 -999.990 -999.990  49.48  6685609 Kepler-207   13.182 13.594 13.129 13.005 12.982 12.099 11.840 11.804
GCK J19253374+4210502 291.39059 42.18062 20.746 0.059 -999.990 -999.990  18.29  6690082 Kepler-280   14.466 14.989 14.419 14.242 14.169 13.288 12.913 12.843
